"Part";"Value";"Device";"Package";"Description";"DM";"DR";"DX";"DY";"HEIGHT";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SHEETNO";"TP_SIGNAL_NAME";
"SPKR-";"DNP";"TPSQPAD1-13";"P1-13";"Test pad";"";"";"";"";"0";"";"";"";"";"";"";
"TP1";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"TP2";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"U$19";"TPS5450";"TPS5450";"8SO_POWERPAD";"";"";"";"";"";"";"";"";"";"";"";"";
"U$27";"TPS5450";"TPS5450";"8SO_POWERPAD";"";"";"";"";"";"";"";"";"";"";"";"";
"U$30";"USD_3M2900";"USD_3M2900";"USD";"";"";"";"";"";"2";"";"";"";"";"";"";
"U$66";"ADS7846RGV";"ADS7846RGV";"QFN16";"";"";"";"";"";"1";"";"";"";"";"";"";
"U$67";"SN74LVC16T245";"74AC164245TVSOP";"TVSOP48";"";"";"";"";"";"1.14";"";"";"";"";"";"";
"U$68";"SN74LVC16T245";"74AC164245TVSOP";"TVSOP48";"";"";"";"";"";"1.14";"";"";"";"";"";"";
"U$69";"SN74LVC16T245";"74AC164245TVSOP";"TVSOP48";"";"";"";"";"";"1.14";"";"";"";"";"";"";
"U$70";"FH12-40-NHD-4.3";"FH12-40-NHD-4.3"";"FH12-40S-0.5SH";"";"";"";"";"";"";"";"";"";"";"";"";
"U$72";"AM3354BZCZ80";"AM335_ZCZ";"BGA324C80P18X18";"";"";"";"";"";"";"";"";"";"";"";"";
"U$79";"100K";"741C083";"741C083";"Resisor Network";"";"";"";"";"";"";"";"";"";"";"";
"U$80";"100K";"741C083";"741C083";"Resisor Network";"";"";"";"";"";"";"";"";"";"";"";
"U$81";"100K";"741C083";"741C083";"Resisor Network";"";"";"";"";"";"";"";"";"";"";"";
"U$82";"100K";"741C083";"741C083";"Resisor Network";"";"";"";"";"";"";"";"";"";"";"";
"U$101";"MT41K256M16";"MT41K256M16";"FBGA_96_10_14";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"DS1340";"DS1339";"SO-8";"";"";"";"";"";"";"";"";"";"";"";"";
"U4";"";"TB6612FNG";"SSOP24";"Toshiba 1A dual motor driver";"";"";"";"";"";"";"";"";"";"";"";
"U5";"MA03X2 FEMALE";"MA03X2";"MA03-2";"";"";"";"";"";"";"";"";"";"";"";"";
"U6";"APTB1615";"APTB1615";"APTB1615";"Kingbright Bi-colour LED";"";"";"";"";"";"";"";"";"";"";"";
"U7";"APTB1615";"APTB1615";"APTB1615";"Kingbright Bi-colour LED";"";"";"";"";"";"";"";"";"";"";"";
"U8";"TXS0108E";"TXS0108E";"QFN20";"";"";"";"";"";"";"";"";"";"";"";"";
"U9";"JS102011SAQN";"JS102011SAQN";"JS102011SAQN";"";"";"";"";"";"";"";"";"";"";"";"";
"U10";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U11";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U14";"TPS2052B";"TPS2052";"MSOP8-PAD";"";"";"";"";"";"1.1";"";"";"";"";"";"";
"U15";"TLV320AIC3106";"TLV320AIC3106";"QFN48";"";"";"";"";"";"";"";"";"";"";"";"";
"U16";"";"74AVC2T245";"UQFN-10";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"U17";"LM4862M";"LM4862";"SO-8";"";"";"";"";"";"1.75";"";"";"";"";"";"";
"U18";"USB2513";"USB2513";"QFN36-6X6MM";"";"";"";"";"";"1";"";"";"";"";"";"";
"U20";"TXS0108E";"TXS0108E";"QFN20";"";"";"";"";"";"";"";"";"";"";"";"";
"U21";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U22";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U23";"";"TB6612FNG";"SSOP24";"Toshiba 1A dual motor driver";"";"";"";"";"";"";"";"";"";"";"";
"U24";"MA03X2 FEMALE";"MA03X2";"MA03-2";"";"";"";"";"";"";"";"";"";"";"";"";
"U25";"APTB1615";"APTB1615";"APTB1615";"Kingbright Bi-colour LED";"";"";"";"";"";"";"";"";"";"";"";
"U26";"APTB1615";"APTB1615";"APTB1615";"Kingbright Bi-colour LED";"";"";"";"";"";"";"";"";"";"";"";
"U27";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U28";"WL1831MOD";"WL1801MOD";"WL1801MOD";"";"";"";"";"";"";"";"";"";"";"";"";
"U29";"TXS0108E";"TXS0108E";"QFN20";"";"";"";"";"";"";"";"";"";"";"";"";
"U30";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U31";"";"EVQKMT0";"KMT0";"";"";"";"";"";"";"";"";"";"";"";"";
"U32";"TXS0102";"TXS0102";"DFN8-0.4P";"";"";"";"";"";"";"";"";"";"";"";"";
"U33";"PCA9306";"PCA9306";"DCT-8(SSOP)";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"U34";"AT24C01B-TH_B";"AT24CA";"TSSOP8";"2-wire serial EEPROM";"";"";"";"";"1";"";"";"";"";"";"";
"U35";"TPS65217D";"TPS65217";"QFN40P600X600X100-49";"PMIC for TI Am335x processors";"";"";"";"";"";"";"";"";"";"";"";
"U36";"L3GD20H";"L3G4200D3X3";"LGA16L";"";"";"";"";"";"";"";"";"";"";"";"";
"U37";"LSM303D";"LSM303DLGA";"LGA16-3X3MM";"";"";"";"";"";"";"";"";"";"";"";"";
"VCC1";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"WLDB";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"WLEN";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"WLRX";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"WLTX";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"X1";"32.768";"X2CM415";"CM415";"";"";"";"";"";"1";"";"";"";"";"";"";
"X2";"12MHz 1.8V";"ASF1";"ASF";"CRYSTAL CLOCK OSCILLATORS";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"Y1";"24.000MHz";"Y4CRYSTAL-3225";"CRYSTAL-3225";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"Y2";"24.000MHz";"Y4CRYSTAL-3225";"CRYSTAL-3225";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"Y3";"24.000MHz";"Y4CRYSTAL-3225";"CRYSTAL-3225";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"Y4";"32.768kHz";"X21206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
